method,backbone,dataset,configuration,protocol,intervention_I,M_plus_I,M_minus_I,horizon,selector,optimizer_and_hyperparameters,preprocessing,configuration_source,provenance,caveat,native_evaluation_role,baseline_reference_protocol
FairGNN,GCN,german,default,controlled,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=8, beta=0.005","alpha=0.0, beta=0.0",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",acc=0.36000000000000004; alpha=8; beta=0.005; lr=0.001; num_hidden=16; weight_decay=0.0,feature_normalize=True,"harness/provenance/nifty_README.md (NIFTY, as a baseline)",third-party-benchmark,"FairGNN's own repository configures nba, pokec_n and pokec_z only -- never german, bail or credit; alpha/beta come from param.json and remain local-unverified",,same_protocol
FairGNN,GCN,bail,default,controlled,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=2, beta=0.05","alpha=0.0, beta=0.0",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",acc=0.54; alpha=2; beta=0.05; lr=0.001; num_hidden=128; weight_decay=0.0,feature_normalize=False,utils/param.json,local-unverified,"FairGNN's own repository configures nba, pokec_n and pokec_z only -- never german, bail or credit",,same_protocol
FairGNN,GCN,credit,default,controlled,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=1, beta=0.005","alpha=0.0, beta=0.0",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",acc=0.3; alpha=1; beta=0.005; lr=0.001; num_hidden=128; weight_decay=0.0,feature_normalize=False,utils/param.json,local-unverified,"FairGNN's own repository configures nba, pokec_n and pokec_z only -- never german, bail or credit",,same_protocol
FairGNN,GCN,pokec_z,default,controlled,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=4, beta=0.01","alpha=0.0, beta=0.0",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",acc=0.3; alpha=4; beta=0.01; lr=0.001; num_hidden=128; weight_decay=0.0,feature_normalize=False,utils/param.json,local-unverified,"FairGNN's own repository configures nba, pokec_n and pokec_z only -- never german, bail or credit",,same_protocol
FairGNN,GCN,pokec_z_g,default,controlled,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=4, beta=0.01","alpha=0.0, beta=0.0",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",acc=0.3; alpha=4; beta=0.01; lr=0.001; num_hidden=128; weight_decay=0.0,feature_normalize=False,utils/param.json,local-unverified,"FairGNN's own repository configures nba, pokec_n and pokec_z only -- never german, bail or credit",,same_protocol
FairGNN,GCN,pokec_n,default,controlled,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=8, beta=0.01","alpha=0.0, beta=0.0",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",acc=0.3; alpha=8; beta=0.01; lr=0.001; num_hidden=128; weight_decay=0.0,feature_normalize=False,utils/param.json,local-unverified,"FairGNN's own repository configures nba, pokec_n and pokec_z only -- never german, bail or credit",,same_protocol
FairGNN,GCN,pokec_n_g,default,controlled,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=8, beta=0.01","alpha=0.0, beta=0.0",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",acc=0.3; alpha=8; beta=0.01; lr=0.001; num_hidden=128; weight_decay=0.0,feature_normalize=False,utils/param.json,local-unverified,"FairGNN's own repository configures nba, pokec_n and pokec_z only -- never german, bail or credit",,same_protocol
NIFTY,GCN,german,default,controlled,counterfactual-and-noise invariance objective (sim_coeff) on a Lipschitz-constrained encoder,sim_coeff=0.6,sim_coeff=0.0,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=16; num_proj_hidden=16; sim_coeff=0.6; weight_decay=1e-05,feature_normalize=False,harness/provenance/nifty_README.md,official-repo,,,same_protocol
NIFTY,GCN,bail,default,controlled,counterfactual-and-noise invariance objective (sim_coeff) on a Lipschitz-constrained encoder,repository configuration,sim_coeff=0.0,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=8; num_proj_hidden=4; weight_decay=1e-05,feature_normalize=False,utils/param.json,local-unverified,NIFTY's repository states german only; this dataset has no command in any artifact,,same_protocol
NIFTY,GCN,credit,default,controlled,counterfactual-and-noise invariance objective (sim_coeff) on a Lipschitz-constrained encoder,repository configuration,sim_coeff=0.0,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=8; num_proj_hidden=8; weight_decay=1e-05,feature_normalize=False,utils/param.json,local-unverified,NIFTY's repository states german only; this dataset has no command in any artifact,,same_protocol
