method,dataset,split_id,loader_path,loader_evidence,status,train_hash,n_train,val_hash,n_val,test_hash,n_test
BIND-10pct,bail,20,load_data(fn=False),x30_bind.py:169-171,ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
BIND-1pct,bail,20,load_data(fn=False),x30_bind.py:169-171,ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
BeMap,bail,20,load_data(fn=False),x30_bemap.py:120-121,ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
BeMap-GAT,bail,20,load_data(fn=False),x30_bemap.py:120-121,ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
EDITS,bail,20,load_data(fn=False),x30_edits.py:78-79,ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
FairEdit,bail,20,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
FairGB,bail,20,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
FairGNN,bail,20,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
FairSIN-GCN,bail,20,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
FairSIN-GIN,bail,20,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
FairSIN-SAGE,bail,20,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
FairVGNN,bail,20,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
FairVGNN-GCNspmm,bail,20,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
FairVGNN-SAGE,bail,20,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
GEAR,bail,20,load_data(fn=False),x30_gear.py:187-188,ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
NIFTY,bail,20,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
SFG,bail,20,get_dataset(fn=False),x31_sfg.py:164-165,ok,0c88cd9a018bc109,100,7861347a9fe17028,4719,c9f04da951b1dfe0,4719
BIND-10pct,bail,21,load_data(fn=False),x30_bind.py:169-171,ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
BIND-1pct,bail,21,load_data(fn=False),x30_bind.py:169-171,ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
BeMap,bail,21,load_data(fn=False),x30_bemap.py:120-121,ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
BeMap-GAT,bail,21,load_data(fn=False),x30_bemap.py:120-121,ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
EDITS,bail,21,load_data(fn=False),x30_edits.py:78-79,ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
FairEdit,bail,21,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
FairGB,bail,21,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
FairGNN,bail,21,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
FairSIN-GCN,bail,21,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
FairSIN-GIN,bail,21,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
FairSIN-SAGE,bail,21,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
FairVGNN,bail,21,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
FairVGNN-GCNspmm,bail,21,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
FairVGNN-SAGE,bail,21,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
GEAR,bail,21,load_data(fn=False),x30_gear.py:187-188,ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
NIFTY,bail,21,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
SFG,bail,21,get_dataset(fn=False),x31_sfg.py:164-165,ok,f719e60fb24ccbfa,100,b917ae13a30b6fad,4719,d8d091e193a672c1,4719
BIND-10pct,bail,22,load_data(fn=False),x30_bind.py:169-171,ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
BIND-1pct,bail,22,load_data(fn=False),x30_bind.py:169-171,ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
BeMap,bail,22,load_data(fn=False),x30_bemap.py:120-121,ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
BeMap-GAT,bail,22,load_data(fn=False),x30_bemap.py:120-121,ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
EDITS,bail,22,load_data(fn=False),x30_edits.py:78-79,ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
FairEdit,bail,22,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
FairGB,bail,22,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
FairGNN,bail,22,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
FairSIN-GCN,bail,22,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
FairSIN-GIN,bail,22,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
FairSIN-SAGE,bail,22,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
FairVGNN,bail,22,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
FairVGNN-GCNspmm,bail,22,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
FairVGNN-SAGE,bail,22,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
GEAR,bail,22,load_data(fn=False),x30_gear.py:187-188,ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
NIFTY,bail,22,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
SFG,bail,22,get_dataset(fn=False),x31_sfg.py:164-165,ok,6a2ea24cafc7a7e5,100,4444c57f9ee4c40d,4719,e032fc49cc833ab3,4719
BIND-10pct,bail,23,load_data(fn=False),x30_bind.py:169-171,ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
BIND-1pct,bail,23,load_data(fn=False),x30_bind.py:169-171,ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
BeMap,bail,23,load_data(fn=False),x30_bemap.py:120-121,ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
BeMap-GAT,bail,23,load_data(fn=False),x30_bemap.py:120-121,ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
EDITS,bail,23,load_data(fn=False),x30_edits.py:78-79,ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
FairEdit,bail,23,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
