method,dataset,configuration,shared_backbone,claimed_intervention,m_minus_I_state,m_plus_I_state,shared_horizon,shared_checkpoint_selector,shared_optimizer_and_hyperparameters,shared_preprocessing,source_file_or_command,provenance,qualification,shared_split_and_seeds,shared_evaluator
B (common baseline),bail,baseline,GCN,none (reference arm),-,-,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=8; num_proj_hidden=4; weight_decay=0.0,feature_normalize=False,"published('GNN', dataset) -> utils/param.json",local-unverified,,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
B (common baseline),credit,baseline,GCN,none (reference arm),-,-,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=32; num_proj_hidden=4; weight_decay=0.0,feature_normalize=False,"published('GNN', dataset) -> utils/param.json",local-unverified,,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
B (common baseline),german,baseline,GCN,none (reference arm),-,-,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=16; num_proj_hidden=16; weight_decay=0.0,feature_normalize=False,"published('GNN', dataset) -> utils/param.json",third-party-benchmark,,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
B (common baseline),income,baseline,GCN,none (reference arm),-,-,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=128; num_proj_hidden=128; weight_decay=0.0,feature_normalize=False,"published('GNN', dataset) -> utils/param.json",local-unverified,,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
B (common baseline),pokec_n,baseline,GCN,none (reference arm),-,-,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=32; num_proj_hidden=64; weight_decay=0.0,feature_normalize=False,"published('GNN', dataset) -> utils/param.json",local-unverified,,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
B (common baseline),pokec_z,baseline,GCN,none (reference arm),-,-,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=4; num_proj_hidden=16; weight_decay=0.0,feature_normalize=False,"published('GNN', dataset) -> utils/param.json",local-unverified,,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
BIND,bail,10pct,GCN,influence-guided deletion of training nodes (helpfulness_collection=1 ranking),"k = 0 (same Stage-A model, same retraining)",k = round(0.1 * |train|) most harmful training nodes deleted,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0","Stage A pretrain: lr=0.001, weight_decay=0.0001, hidden=16, dropout=0.5, epochs=1000; influence: scale=25, damp=0.03, recursion_depth=5000; Stage B retrain: lr=0.01, weight_decay=0.0",each official script's own (1_training full feature_norm; 2_influence keeps the sensitive column raw),BIND-main parser defaults + README.md:55 (scale 25),official-repo,"budget variant, reported apart, never pooled; fairness cost moved to validation nodes (leakage removed, estimator unchanged)","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
BIND,bail,1pct,GCN,influence-guided deletion of training nodes (helpfulness_collection=1 ranking),"k = 0 (same Stage-A model, same retraining)",k = round(0.01 * |train|) most harmful training nodes deleted,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0","Stage A pretrain: lr=0.001, weight_decay=0.0001, hidden=16, dropout=0.5, epochs=1000; influence: scale=25, damp=0.03, recursion_depth=5000; Stage B retrain: lr=0.01, weight_decay=0.0",each official script's own (1_training full feature_norm; 2_influence keeps the sensitive column raw),BIND-main parser defaults + README.md:55 (scale 25),official-repo,"primary budget; fairness cost moved to validation nodes (leakage removed, estimator unchanged)","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
BIND,income,10pct,GCN,influence-guided deletion of training nodes (helpfulness_collection=1 ranking),"k = 0 (same Stage-A model, same retraining)",k = round(0.1 * |train|) most harmful training nodes deleted,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0","Stage A pretrain: lr=0.001, weight_decay=0.0001, hidden=16, dropout=0.5, epochs=1000; influence: scale=25, damp=0.03, recursion_depth=5000; Stage B retrain: lr=0.01, weight_decay=0.0",each official script's own (1_training full feature_norm; 2_influence keeps the sensitive column raw),BIND-main parser defaults + README.md:55 (scale 25),official-repo,"budget variant, reported apart, never pooled; fairness cost moved to validation nodes (leakage removed, estimator unchanged)","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
BIND,income,1pct,GCN,influence-guided deletion of training nodes (helpfulness_collection=1 ranking),"k = 0 (same Stage-A model, same retraining)",k = round(0.01 * |train|) most harmful training nodes deleted,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0","Stage A pretrain: lr=0.001, weight_decay=0.0001, hidden=16, dropout=0.5, epochs=1000; influence: scale=25, damp=0.03, recursion_depth=5000; Stage B retrain: lr=0.01, weight_decay=0.0",each official script's own (1_training full feature_norm; 2_influence keeps the sensitive column raw),BIND-main parser defaults + README.md:55 (scale 25),official-repo,"primary budget; fairness cost moved to validation nodes (leakage removed, estimator unchanged)","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
BeMap,bail,GAT,GAT,balance-aware neighbour sampling: a fresh fair subgraph each epoch,"train_bemap.train(-1, ...) (full graph)","train_bemap.train(epoch, ...) (sampled subgraph)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",model=gat; lr=0.001; weight_decay=1e-05; hidden=128; dropout=0.5; beta=0.25; lam=0.5; save_num=4,BeMap feature_norm,"BeMap-main train_bemap.py --model gat, parser defaults",official-repo,"GAT keeps dropout active at evaluation (official forward); backbone variant, reported apart","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
BeMap,bail,default,GCN,balance-aware per-epoch subgraph sampling,"train(-1, ...) -- the model's own full-graph branch","train(epoch, ...) -- a fair subgraph each epoch",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05; hidden=128; dropout=0.5; beta=0.25; lam=0.5; save_num=4; model=gcn,BeMap's own feature_norm (all columns),BeMap-main/README.md command + train_bemap.py parser defaults,official-repo,controlled only (native selects on test),"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
BeMap,credit,GAT,GAT,balance-aware neighbour sampling: a fresh fair subgraph each epoch,"train_bemap.train(-1, ...) (full graph)","train_bemap.train(epoch, ...) (sampled subgraph)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",model=gat; lr=0.001; weight_decay=1e-05; hidden=128; dropout=0.5; beta=0.25; lam=0.5; save_num=4,BeMap feature_norm,"BeMap-main train_bemap.py --model gat, parser defaults",official-repo,"GAT keeps dropout active at evaluation (official forward); backbone variant, reported apart","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
BeMap,credit,default,GCN,balance-aware per-epoch subgraph sampling,"train(-1, ...) -- the model's own full-graph branch","train(epoch, ...) -- a fair subgraph each epoch",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05; hidden=128; dropout=0.5; beta=0.25; lam=0.5; save_num=4; model=gcn,BeMap's own feature_norm (all columns),BeMap-main/README.md command + train_bemap.py parser defaults,official-repo,controlled only (native selects on test),"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
BeMap,pokec_z,GAT,GAT,balance-aware neighbour sampling: a fresh fair subgraph each epoch,"train_bemap.train(-1, ...) (full graph)","train_bemap.train(epoch, ...) (sampled subgraph)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",model=gat; lr=0.001; weight_decay=1e-05; hidden=128; dropout=0.5; beta=0.25; lam=0.5; save_num=4,BeMap feature_norm,"BeMap-main train_bemap.py --model gat, parser defaults",official-repo,"GAT keeps dropout active at evaluation (official forward); backbone variant, reported apart","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
BeMap,pokec_z,default,GCN,balance-aware per-epoch subgraph sampling,"train(-1, ...) -- the model's own full-graph branch","train(epoch, ...) -- a fair subgraph each epoch",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05; hidden=128; dropout=0.5; beta=0.25; lam=0.5; save_num=4; model=gcn,BeMap's own feature_norm (all columns),BeMap-main/README.md command + train_bemap.py parser defaults,official-repo,controlled only (native selects on test),"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
EDITS,bail,default,GCN,debiasing stage EDITS.fit: attribute debiasing (4 lowest-weight columns zeroed) + structural debiasing binarised at threshold,stage bypassed: original features and adjacency into the same predict(),"fit() then predict(), threshold_proportion=0.05",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05; debiaser dropout=0.1; debias fit epochs=500; nhid=50,load_data(feature_normalize=False),utils/param.json[EDITS] + train_baselines.py:567-587,local-unverified (repository wrapper),wrapper param routing repaired ; upstream repo not vendored,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
