method,category,source,environment,intervention_I,M_plus_I,M_minus_I,configuration_provenance,datasets_admitted,native,recovery_attempts,admission,evidence
FairSIN,reconsidered (X2 exclusion not inherited),"FairSIN-main/in-train.py, train_mlp.py, experiment.sh (official)","dev (torch 2.6.0, PyG 2.8.0)",neutralisation x + delta*mlp(x) (+ discriminator step when d=yes),"first ablation row (experiment.sh:50-116) with delta>0 and d=yes, else delta>0","same row with delta=0, d=no",official-repo (authors' ablation block),"german; bail; credit; pokec_z; pokec_n (GCN primary; GIN, SAGE variants)","VALID-NATIVE (validation tradeoff selector, native horizon)",run() executed unmodified; seeded train_test_split; evaluate wrapper; hadj cache namespace; utils import isolation; CUDA bind before script's CUDA_VISIBLE_DEVICES=6; memory_profiler stub,ADMITTED controlled + native,smoke/fairsin_smoke.log; X2 rationale refuted at utils.py:29-41
EDITS,new,algorithms/EDITS.py (repository wrapper; upstream not vendored),"x30_edits_env (dev + deeprobust, aif360)",debiasing stage EDITS.fit (attribute + structural debiasing),fit() then predict() at param.json dropout / threshold_proportion,stage bypassed: original features and adjacency into the same predict(),local-unverified (utils/param.json); routing repaired,german; bail; credit,D (no official configuration),venv with deeprobust/aif360; venv-local torch 2.14 removed (CUDA 13 mismatch); param routing repaired; seed injection before predict (optimize reseeds to 10),ADMITTED controlled,"smoke logs; x30_env_edits_fairedit.log; train_baselines.py:567-587, 800-830"
FairEdit,new,algorithms/FairEdit.py (repository wrapper),x30_edits_env,fair_graph_edit while epoch < edit_num (FairEdit.py:780),edit_num=10 (fit default),edit_num=0,local-unverified (utils/param.json),german; bail; credit,D (no official configuration),venv with aif360; private cwd per process; trainer.train(epochs=H) instead of predict()'s hard-coded 100,ADMITTED controlled,smoke logs; train_baselines.py:550-565
BeMap,new,BeMap-main (official),"x27_dgl_cuda (torch 2.2.2, dgl 1.1.3)",balance-aware per-epoch subgraph sampling,"train_bemap.train(epoch, ...)","train_bemap.train(-1, ...) (full-graph branch)","official-repo (README command, parser defaults)",bail; credit; pokec_z,"B. NATIVE-INVALID (selects on test, train_bemap.py:136-142)",DGL env; utils import isolation; import-time seeding isolated,ADMITTED controlled,smoke/bemap_smoke.log (bail in session log)
GEAR,new,GEAR-main/src (official) + released aug assets,x30_edits_env,counterfactual-consistency objective sim_coeff,sim_coeff=0.6,sim_coeff=0,official-repo (parser defaults); released assets verified as sensitive-attribute flips,bail,E (published counterfactual assets not reproducible),PyG1 pickle I/O adapter; torch.load weights_only=False scoped to GEAR cache; utils import isolation (utils_mp kept registered for multiprocessing); private cwd/models_save; __main__ globals n/device/sens provided; evaluate stub (print/native checkpoint only),"ADMITTED controlled (bail), asset caveat",asset verification in adapters/x30_gear.py:_assets; credit asset graph overlap 3.0%
FairGT,new,FairGT-main (official),-,same-sensitive complete graph + eigenvector PE,-,none in authors' code,official-repo README commands,-,C,"switch search in authors' code and wrapper; components_off eig/sgr is study-authored help text (b396f76), unimplemented",EXCLUDED (C),train_fairgt.py:84-103
BIND,new,BIND-main/implementations (official),x27_dgl_cuda,influence-guided deletion of training nodes (helpfulness_collection=1 ranking),"k = round(p*|train|) deleted, p=0.01 primary (BIND-1pct), p=0.10 variant (BIND-10pct)","k = 0 (same Stage-A model, same retraining)",official-repo (parser defaults; README scale 25),bail; income,B. NATIVE-INVALID (published fairness cost reads test labels),"device shims S5 (sens to device); Windows dll no-op; ipdb stub; L1 fairness cost on validation nodes (leakage removal, estimator unchanged); W1-W3 common-data loaders/get_adj/del_adj; Stage-A cache namespace with hashes","ADMITTED controlled (bail, income)","bind_recovery/RECOVERY_LOG.md; approximator.py:131-133,149; README.md:55; smoke/bind_smoke.log"
FMP,existing (X27 component case study),FMP-main (official),x27_dgl_cuda,"fair message passing (lambda1, lambda2)",grid only (run_fgnn.sh),lambda=0,"official grid, no single configuration",-,-,"bundled adv/reg/Fmix baselines: hyper_reg default 0, no published value",NO NEW CELL (X27 stands),X27_RESULTS.md; run_fgnn.sh
FairWalk,new,algorithms/FairWalk.py,-,fair random-walk sampling,-,-,-,-,C,-,EXCLUDED (C),random sensitive groups in wrapper; dead run()
CrossWalk,new,algorithms/CrossWalk.py,-,cross-group walk reweighting,-,-,-,-,C,-,EXCLUDED (C),random sensitive groups in wrapper; dead run()
GNN_cf,variant,algorithms/GNN_cf.py,-,counterfactual evaluation variant,-,-,-,-,D,-,NOT A CANDIDATE,variant of the core NIFTY mechanism
NIFTY_cf,variant,algorithms/NIFTY_cf.py,-,counterfactual evaluation variant,-,-,-,-,D,-,NOT A CANDIDATE,variant of the core NIFTY mechanism
FairGNN,"core (X22, frozen)",algorithms/FairGNN.py,dev,"alpha, beta",-,-,-,-,-,-,CORE (not re-run),X22
NIFTY,"core (X22, frozen)",algorithms/NIFTY.py,dev,sim_coeff,-,-,-,-,-,-,CORE (not re-run),X22
FairVGNN,"core (X22, frozen)",algorithms/FairVGNN.py,dev,"f_mask, weight_clip",-,-,-,-,-,-,CORE (not re-run),X22
FairGB,"core (X22, frozen)",algorithms/FairGB_alg.py,dev,"CAL, CNM",-,-,-,-,-,-,CORE (not re-run),X22
GNN,baseline B,algorithms/GNN.py,every X30 env,-,-,-,"published('GNN', dataset)",-,-,-,BASELINE,pilot_tau.main
