method,dataset,primary_controlled,robustness_controlled,native,configuration_source,note
BIND,bail,done,done,excluded,parser defaults + README scale 25,"primary 1% budget, robustness 10%; native excluded: estimator reads test labels"
BIND,pokec_z,excluded,excluded,excluded,pokec_dataset.zip (pokec1),"BIND's pokec1 is a 7,659-node subgraph, not the common pokec_z"
BIND,pokec_n,excluded,excluded,excluded,pokec_dataset.zip (pokec2),"BIND's pokec2 is a 6,185-node subgraph, not the common pokec_n"
BIND,income,done,done,excluded,parser defaults + README scale 25,"primary 1% budget, robustness 10%; native excluded: estimator reads test labels"
BeMap,bail,done,done,excluded,"README command, parser defaults","primary GCN, robustness GAT (--model gat); native excluded: selects on the test split"
BeMap,credit,done,done,excluded,"README command, parser defaults","primary GCN, robustness GAT (--model gat); native excluded: selects on the test split"
BeMap,pokec_z,done,done,excluded,"README command, parser defaults","primary GCN, robustness GAT (--model gat); native excluded: selects on the test split"
BeMap,nba,excluded,excluded,excluded,README command,common split: the validation set is contained in the test set
EDITS,german,done,no configuration,no configuration,utils/param.json (repository wrapper),no official configuration for a native run
EDITS,bail,done,no configuration,no configuration,utils/param.json (repository wrapper),no official configuration for a native run
EDITS,credit,done,no configuration,no configuration,utils/param.json (repository wrapper),no official configuration for a native run
FMP,pokec_z,component study,no configuration,no configuration,run_fgnn.sh grid,"component-level case study: B -> base -> +propagation -> +fairness, the baseline trained on FMP's own split and horizon"
FMP,pokec_n,component study,no configuration,no configuration,run_fgnn.sh grid,"component-level case study: B -> base -> +propagation -> +fairness, the baseline trained on FMP's own split and horizon"
FMP,nba,excluded,excluded,excluded,run_fgnn.sh grid,common split: the validation set is contained in the test set
FairEdit,german,done,no configuration,no configuration,utils/param.json (repository wrapper),no official configuration for a native run
FairEdit,bail,done,no configuration,no configuration,utils/param.json (repository wrapper),no official configuration for a native run
FairEdit,credit,done,no configuration,no configuration,utils/param.json (repository wrapper),no official configuration for a native run
FairGB,german,done,no configuration,done,upstream run.sh,
FairGB,bail,done,no configuration,done,upstream run.sh,
FairGB,credit,done,no configuration,done,upstream run.sh,
FairGNN,german,done,no configuration,no configuration,utils/param.json,upstream configures pokec and nba only
FairGNN,bail,done,no configuration,no configuration,utils/param.json,upstream configures pokec and nba only
FairGNN,credit,done,no configuration,no configuration,utils/param.json,upstream configures pokec and nba only
FairGNN,pokec_z,done,done,not run (decision),"primary: utils/param.json; robustness: upstream src/scripts/pokec_z (GCN alpha=100 beta=1 H=2000, GAT alpha=10 beta=0.01 H=800)",robustness = the upstream GCN and GAT rows; native not run by decision
FairGNN,pokec_n,done,done,not run (decision),"primary: utils/param.json; robustness: upstream src/scripts/pokec_n (GCN alpha=50 beta=1 H=1800, GAT alpha=4 beta=0.01 H=1800)",robustness = the upstream GCN and GAT rows; native not run by decision
FairGNN,pokec_z_g,done,no configuration,no configuration,utils/param.json,gender as the sensitive attribute
FairGNN,pokec_n_g,done,no configuration,no configuration,utils/param.json,gender as the sensitive attribute
FairGNN,nba,excluded,excluded,excluded,upstream src/scripts/nba,common split: the validation set is contained in the test set
FairGT,german,excluded,excluded,excluded,README commands,no off-state in the authors' code
FairGT,bail,excluded,excluded,excluded,README commands,no off-state in the authors' code
FairGT,credit,excluded,excluded,excluded,README commands,no off-state in the authors' code
FairGT,income,excluded,excluded,excluded,README commands,no off-state in the authors' code
FairGT,nba,excluded,excluded,excluded,README commands,no off-state in the authors' code
FairSIN,german,done,done,done,experiment.sh ablation block,"primary GCN; robustness GIN, SAGE; native for all three"
FairSIN,bail,done,done,done,experiment.sh ablation block,"primary GCN; robustness GIN, SAGE; native for all three"
FairSIN,credit,done,done,done,"experiment.sh ablation block (GCN, GIN via train_mlp.py)","primary GCN; robustness GIN, SAGE; native for all three"
FairSIN,pokec_z,done,done,done,experiment.sh ablation block,neutralisation only (no d='yes' row published)
FairSIN,pokec_n,done,done,done,experiment.sh ablation block,neutralisation only (no d='yes' row published)
FairVGNN,german,done,done,done,upstream run_german.sh,"primary GCN row; robustness: the other full rows (GCN-spmm, GIN, SAGE); native for the primary row only (the other rows' native runs were not run by decision)"
FairVGNN,bail,done,done,done,upstream run_bail.sh,"primary GCN row; robustness: the other full rows (GCN-spmm, SAGE); native for the primary row only (the other rows' native runs were not run by decision)"
FairVGNN,credit,done,done,done,upstream run_credit.sh + fairvgnn_credit.py,"primary GCN row; robustness: the other full rows (GIN, SAGE); native for the primary row only (the other rows' native runs were not run by decision)"
FnRGNN,german,"done, task-adapted",no configuration,excluded,logs/best_configs (regression target LoanAmount),"released for node regression, no training loop: on classification (1b) loss BCE, on its own regression task (1c) loss MSE; both with training-node mask, mmd_sample and H set by the harness; reported on its own"
FnRGNN,pokec_z,"done, task-adapted",no configuration,excluded,logs/best_configs (regression target completion_percentage),"released for node regression, no training loop: on classification (1b) loss BCE, on its own regression task (1c) loss MSE; both with training-node mask, mmd_sample and H set by the harness; reported on its own"
FnRGNN,pokec_n,"done, task-adapted",no configuration,excluded,logs/best_configs (regression target completion_percentage),"released for node regression, no training loop: on classification (1b) loss BCE, on its own regression task (1c) loss MSE; both with training-node mask, mmd_sample and H set by the harness; reported on its own"
FnRGNN,nba,excluded,excluded,excluded,logs/best_configs,common split: the validation set is contained in the test set
GEAR,german,excluded,excluded,excluded,loader only,no released assets; generator checkpoints absent
GEAR,bail,done,no configuration,excluded,parser defaults + released augmentation assets,released counterfactuals are attribute flips; published generator not reproducible
GEAR,credit,excluded,excluded,excluded,released assets,released credit assets are on a different graph (3% edge overlap)
NIFTY,german,done,no configuration,done,upstream README,
NIFTY,bail,done,no configuration,no configuration,utils/param.json,upstream states german only
NIFTY,credit,done,no configuration,no configuration,utils/param.json,upstream states german only
SFG,german,done,no configuration,done,run.sh ablation ladder (SAGE),off-state is the authors' own unconstrained row; the native test-reading branch is unreachable at the published horizon
SFG,bail,done,no configuration,done,run.sh ablation ladder (SAGE),off-state is the authors' own unconstrained row; the native test-reading branch is unreachable at the published horizon
SFG,credit,done,no configuration,done,"run.sh ablation ladder (SAGE, sfg_credit.py)",off-state is the authors' own unconstrained row; the native test-reading branch is unreachable at the published horizon
