method,backbone,dataset,family,controlled_selector,native_selector_actual,selector_changed,horizon_controlled,horizon_native,other_factors_actual,factors_changed_string,string_matches_reality,label
FairGB,SAGE,bail,targeted,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (FairGB_alg.py:102,208 (best_epoch)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/armB_native_FairGB_bail.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/armB_native_FairGB_bail.csv; method_configurations.csv ""H = 200"")",1500 (method_epochs=1500 in harness/results/armB_native_FairGB_bail.csv),feature_normalize controlled=1 -> native=1 (store column feature_normalize in harness/results/armB_native_FairGB_bail.csv; armA_bail.csv for controlled; published_config.py:353-359),horizon 200 -> 1500; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairGB,SAGE,credit,targeted,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (FairGB_alg.py:102,208 (best_epoch)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/armB_native_FairGB_credit.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/armB_native_FairGB_credit.csv; method_configurations.csv ""H = 200"")",2000 (method_epochs=2000 in harness/results/armB_native_FairGB_credit.csv),feature_normalize controlled=1 -> native=1 (store column feature_normalize in harness/results/armB_native_FairGB_credit.csv; armA_credit.csv for controlled; published_config.py:353-359),horizon 200 -> 2000; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairSIN,GCN,bail,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x30_fairsin.py:310-312 (strict > on val AUC+F1+ACC - alpha*(DP+EO), floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x30/x30native_FairSIN-GCN_bail.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x30/x30native_FairSIN-GCN_bail.csv; method_configurations.csv ""H = 200"")",100 (method_epochs=100 in harness/results/x30/x30native_FairSIN-GCN_bail.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 100; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairSIN,GCN,credit,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x30_fairsin.py:310-312 (strict > on val AUC+F1+ACC - alpha*(DP+EO), floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x30/x30native_FairSIN-GCN_credit.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x30/x30native_FairSIN-GCN_credit.csv; method_configurations.csv ""H = 200"")",100 (method_epochs=100 in harness/results/x30/x30native_FairSIN-GCN_credit.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 100; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairSIN,GCN,german,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x30_fairsin.py:310-312 (strict > on val AUC+F1+ACC - alpha*(DP+EO), floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x30/x30native_FairSIN-GCN_german.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x30/x30native_FairSIN-GCN_german.csv; method_configurations.csv ""H = 200"")",150 (method_epochs=150 in harness/results/x30/x30native_FairSIN-GCN_german.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 150; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairSIN,GCN,pokec_n,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x30_fairsin.py:310-312 (strict > on val AUC+F1+ACC - alpha*(DP+EO), floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x30/x30native_FairSIN-GCN_pokec_n.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x30/x30native_FairSIN-GCN_pokec_n.csv; method_configurations.csv ""H = 200"")",100 (method_epochs=100 in harness/results/x30/x30native_FairSIN-GCN_pokec_n.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 100; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairSIN,GCN,pokec_z,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x30_fairsin.py:310-312 (strict > on val AUC+F1+ACC - alpha*(DP+EO), floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x30/x30native_FairSIN-GCN_pokec_z.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x30/x30native_FairSIN-GCN_pokec_z.csv; method_configurations.csv ""H = 200"")",100 (method_epochs=100 in harness/results/x30/x30native_FairSIN-GCN_pokec_z.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 100; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairSIN,GIN,bail,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x30_fairsin.py:310-312 (strict > on val AUC+F1+ACC - alpha*(DP+EO), floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x30/x30native_FairSIN-GIN_bail.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x30/x30native_FairSIN-GIN_bail.csv; method_configurations.csv ""H = 200"")",100 (method_epochs=100 in harness/results/x30/x30native_FairSIN-GIN_bail.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 100; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairSIN,GIN,credit,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x30_fairsin.py:310-312 (strict > on val AUC+F1+ACC - alpha*(DP+EO), floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x30/x30native_FairSIN-GIN_credit.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x30/x30native_FairSIN-GIN_credit.csv; method_configurations.csv ""H = 200"")",100 (method_epochs=100 in harness/results/x30/x30native_FairSIN-GIN_credit.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 100; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairSIN,GIN,german,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x30_fairsin.py:310-312 (strict > on val AUC+F1+ACC - alpha*(DP+EO), floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x30/x30native_FairSIN-GIN_german.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x30/x30native_FairSIN-GIN_german.csv; method_configurations.csv ""H = 200"")",100 (method_epochs=100 in harness/results/x30/x30native_FairSIN-GIN_german.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 100; selector: sigma_c -> the method's own published rule,no,[확인됨]
