method,configuration,dataset,protocol,store_method,n_rows,resolutions_differ,differing_keys,verdict,evidence,detail
FairVGNN,default,bail,native,FairVGNN,60,True,"K,__error__,__horizon__,alpha,c_epochs,c_lr,c_wd,clip_e,d_epochs,dropout,e_lr,e_wd,feature_normalize,g_epochs,hidden,prop,ratio,top_k,vg_wrapper_normalize",confirmed,"method_epochs=np.float64(300.0) (prov=300, empty=None); feature_normalize=False (prov=False, empty=None)",2 recorded field(s) match the provenance resolution only
FairVGNN,default,credit,native,FairVGNN,60,True,"K,__error__,__horizon__,alpha,c_epochs,c_lr,c_wd,clip_c,clip_e,d_epochs,dropout,e_lr,e_wd,fairvgnn_credit_adapter,feature_normalize,g_epochs,hidden,prop,ratio,top_k,vg_wrapper_normalize",confirmed,"method_epochs=np.float64(200.0) (prov=200, empty=None); feature_normalize=False (prov=False, empty=None)",2 recorded field(s) match the provenance resolution only
FairVGNN,default,german,native,FairVGNN,60,True,"K,__error__,__horizon__,alpha,c_epochs,c_lr,c_wd,clip_e,d_epochs,dropout,e_lr,e_wd,feature_normalize,g_epochs,hidden,prop,ratio,top_k,vg_wrapper_normalize",confirmed,"method_epochs=np.float64(200.0) (prov=200, empty=None); feature_normalize=False (prov=False, empty=None)",2 recorded field(s) match the provenance resolution only
NIFTY,default,german,native,NIFTY,60,True,"__error__,__horizon__,drop_edge_rate_1,drop_edge_rate_2,drop_feature_rate_1,drop_feature_rate_2,feature_normalize,lr,num_hidden,num_proj_hidden,restore_train_drop_rates,sim_coeff,weight_decay",confirmed,"method_epochs=np.float64(1000.0) (prov=1000, empty=None); feature_normalize=False (prov=False, empty=None)",2 recorded field(s) match the provenance resolution only
BIND,10pct,bail,controlled,BIND-10pct,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
BIND,1pct,bail,controlled,BIND-1pct,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
BIND,10pct,income,controlled,BIND-10pct,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
BIND,1pct,income,controlled,BIND-1pct,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
BeMap,default,bail,controlled,BeMap,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
BeMap,GAT,bail,controlled,BeMap-GAT,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
BeMap,default,credit,controlled,BeMap,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
BeMap,GAT,credit,controlled,BeMap-GAT,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
BeMap,default,pokec_z,controlled,BeMap,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
BeMap,GAT,pokec_z,controlled,BeMap-GAT,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
EDITS,default,bail,controlled,EDITS,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
EDITS,default,credit,controlled,EDITS,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
EDITS,default,german,controlled,EDITS,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairEdit,default,bail,controlled,FairEdit,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairEdit,default,credit,controlled,FairEdit,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
